MMI_DRUG_ID;SCD_RXCUI
54988721;799054
54923430;310140
54990545;1242231
54903828;1373483
54990556;643720
54903486;403879
52773101;242297
52774101;1483744
54903813;668365
54906233;284989
54487501;904932
55026741;310014
54903563;312941
54489701;1482525
55018995;2168542
35561201;199523
54985579;1037045
54950300;809996
54990562;1242231
54803899;349547
54803899;1998460
54954267;312441
54903577;312938
54803960;864675
54490401;199209
54490401;730981
50434001;351292
54990574;643720
50434301;198603
54988682;199058
52774901;429503
55007808;577776
54903819;854177
52775001;310798
54490501;198507
35565503;197517
50440801;314231
52775601;199224
35566501;310672
35566601;197388
54990579;643720
54990587;1242231
54985573;1037045
55002733;898715
54490601;240758
54990595;643720
54491201;199206
52777101;238019
54990603;1242231
54492201;200060
54938146;810077
54938146;845152
54988723;845127
54988723;799054
54990609;643720
54990625;1242231
50441301;312961
50442401;198211
35567501;246461
35567601;199437
54492301;199206
54991187;389221
54961323;1649485
54492401;855178
35569701;199696
54804242;2200175
54804242;596930
35569801;199565
35570401;389237
54965681;1422096
35570801;310433
35570801;1806382
54999634;283475
54492501;855194
35570901;310434
35571201;311288
35572401;205315
54962737;616492
54962737;616749
54804243;596934
54804243;2200181
54961333;1592750
54961616;616285
54990763;730869
50443401;250418
54962759;861370
52780401;205284
54492801;639537
50447101;200329
35574001;311289
55007329;104481
54990783;245500
35575601;606726
52780601;205285
35575701;606730
54990784;310297
54998845;749206
55007343;308805
54956555;310430
54961337;308376
54961665;855633
54804028;197805
35577701;198507
54928650;205305
54922491;314072
50450301;198051
54991424;205304
54903824;668364
54903835;1362132
54961294;310346
52791201;199444
35577801;199318
52792301;854177
54990817;730872
54988698;845129
54988698;799056
54990819;722134
54991189;197797
52792601;979468
52792701;979464
54804238;198440
50451401;313002
54941566;616279
54961602;865157
52792801;979471
54961234;597730
54804180;200256
54974264;205285
35584801;833528
54493001;578325
54903906;597850
55014485;310132
54922488;314072
54816754;403811
54493101;197805
54990829;1150266
54991215;349410
54944132;577317
54948299;429662
54990837;1592750
35587501;311702
54990845;722126
54930118;754761
35587601;311702
35590001;387003
54816755;403810
54505901;153822
54506001;153823
54991221;358917
54990895;2477266
54506301;577776
35591301;312829
35594801;317573
54990918;199123
55003973;284989
55017486;824295
35594901;312440
54506601;639537
35595001;247047
54933975;283317
54988278;477130
54991225;313002
54961668;1010600
54904431;282755
54507401;578325
54507701;1193339
54922487;314072
35597001;284207
54988272;283316
54507801;1193343
55026335;1806645
54961371;349420
54931904;616285
54909479;891888
54909479;1871441
52803201;836466
52803901;849329
54961382;349200
54904363;895670
54904363;828287
54904366;832652
54904366;853201
52804001;849329
54904364;721791
54904364;845030
50456001;832652
50456001;853201
50456401;845030
50456401;721791
50458401;979092
55004872;1999667
52804601;833709
52804601;1946529
52804601;836398
54961385;722122
54904372;1363493
54904369;808917
54916842;153822
54507901;1193347
54991195;2288406
54511701;349420
52805001;849561
52805001;836489
55016164;314167
54931951;825427
52805301;836401
52805301;833711
52805301;1946527
54992159;401938
50459001;199387
54994431;252559
50464101;845032
50464101;721794
54811896;310230
55025695;1536484
54990977;241834
54990977;328160
54991213;349408
50464301;721796
50464301;845034
54944116;577315
54804201;200321
55018989;1000913
54811898;348804
54961410;349201
55022414;582671
54961611;433844
54961611;250529
