edqm_dose_form,rxnorm_dose_form,has_trac_code,has_trac_term,has_rca_code,has_rca_term,has_amec_code,has_amec_term,has_isic_code,has_isic_term
"oromucosal spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
"oromucosal spray, suspension",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
"laryngopharyngeal spray, solution",,42,no transformation                                 ,47,conventional                                      ,17,spraying,32,oromucosal
buccal tablet,buccal tablet,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
lozenge,oral lozenge,42,no transformation                                 ,47,conventional                                      ,18,sucking,32,oromucosal
compressed lozenge,,42,no transformation                                 ,47,conventional                                      ,18,sucking,32,oromucosal
pastille,,42,no transformation                                 ,47,conventional                                      ,18,sucking,32,oromucosal
oromucosal capsule,,42,no transformation                                 ,47,conventional                                      ,7,chewing/sucking,32,oromucosal
muco-adhesive buccal tablet,sustained release buccal tablet,42,no transformation                                 ,45,prolonged                                         ,5,application,32,oromucosal
oromucosal patch,,42,no transformation                                 ,45,prolonged                                         ,5,application,32,oromucosal
laryngopharyngeal solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
laryngopharyngeal solution,,42,no transformation                                 ,47,conventional                                      ,4,administration,32,oromucosal
oromucosal solution,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal suspension,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
gingival solution,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal gel,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal paste,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal ointment,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal cream,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
buccal film,buccal film,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
gingival gel,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
gingival paste,,42,no transformation                                 ,47,conventional                                      ,5,application,32,oromucosal
oromucosal drops,,42,no transformation                                 ,47,conventional                                      ,13,instillation,32,oromucosal
oromucosal/laryngopharyngeal solution,,42,no transformation                                 ,47,conventional                                      ,5,administration/application,32,oromucosal
"oromucosal/laryngopharyngeal solution/spray, solution",,42,no transformation                                 ,47,conventional                                      ,5,administration/application/spraying ,32,oromucosal
concentrate for oromucosal solution,,38,dilution                                          ,47,conventional                                      ,5,application,32,oromucosal
powder for gingival gel,,41,mixing                                            ,47,conventional                                      ,5,application,32,oromucosal
gargle,,42,no transformation                                 ,47,conventional                                      ,8,gargling,32,oromucosal
gargle/mouthwash,,42,no transformation                                 ,47,conventional                                      ,8,gargling/rinsing/washing,32,oromucosal
concentrate for gargle,,38,dilution                                          ,47,conventional                                      ,8,gargling,32,oromucosal
"gargle, powder for solution",,40,dissolution                                       ,47,conventional                                      ,8,gargling,32,oromucosal
"gargle, tablet for solution",,40,dissolution                                       ,47,conventional                                      ,8,gargling,32,oromucosal
"mouthwash, tablet for solution",,40,dissolution                                       ,47,conventional                                      ,15,rinsing/washing,32,oromucosal
"mouthwash, powder for solution",,40,dissolution                                       ,47,conventional                                      ,15,rinsing/washing,32,oromucosal
