EDQM,,,,,RxNorm Mapping,Bewertung,Kommentar,Original Mapping [https://www.sciencedirect.com/science/article/pii/S138650562200140X],,
PDF-10528000,Veterinary only,Current,Cutaneous,Ear tag,,,,,,
PDF-10529000,Veterinary only,Current,"Cutaneous, Transdermal",Dip solution,,,,,,
PDF-10530000,Veterinary only,Current,"Cutaneous, Transdermal",Dip suspension,,,,,,
PDF-10531000,Veterinary only,Current,"Cutaneous, Transdermal",Dip emulsion,,,,,,
PDF-10532000,Veterinary only,Current,"Cutaneous, Transdermal",Concentrate for dip solution,,,,,,
PDF-10533000,Veterinary only,Current,"Cutaneous, Transdermal",Concentrate for dip suspension,,,,,,
PDF-10534000,Veterinary only,Current,"Cutaneous, Transdermal",Concentrate for dip emulsion,,,,,,
PDF-10534500,Veterinary only,Current,"Cutaneous, Transdermal",Powder for dip solution,,,,,,
PDF-10535000,Veterinary only,Current,Environmental,Concentrate for solution for fish treatment,,,,,,
PDF-10536000,Veterinary only,Current,Environmental,Powder for suspension for fish treatment,,,,,,
PDF-10537000,Veterinary only,Current,"Cutaneous, Transdermal",Pour-on solution,,,,,,
PDF-10538000,Veterinary only,Current,"Cutaneous, Transdermal",Pour-on suspension,,,,,,
PDF-10539000,Veterinary only,Current,"Cutaneous, Transdermal",Pour-on emulsion,,,,,,
PDF-10539250,Human and Veterinary,Rejected,Cutaneous,Scalp solution,,,,,,
PDF-10539500,Human and Veterinary,Rejected,Cutaneous,Scrub,,,,,,
PDF-10540000,Veterinary only,Current,"Cutaneous, Transdermal",Spot-on solution,,,,,,
PDF-10541000,Veterinary only,Current,"Cutaneous, Transdermal",Spot-on suspension,,,,,,
PDF-10542000,Veterinary only,Current,"Cutaneous, Transdermal",Spot-on emulsion,,,,,,
PDF-10543000,Veterinary only,Current,Cutaneous,Teat dip solution,,,,,,
PDF-10544000,Veterinary only,Current,Cutaneous,Teat dip suspension,,,,,,
PDF-10545000,Veterinary only,Current,Cutaneous,Teat dip emulsion,,,,,,
PDF-10546000,Veterinary only,Current,Cutaneous,Teat spray solution,,,,,,
PDF-10546250,Human and Veterinary,Current,Transdermal,Transdermal gel,Topical Gel,ok,,,a gel intended for use on the skin,
PDF-10546400,Human and Veterinary,Current,Transdermal,Transdermal solution,Topical Solution,ok,,,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-10546500,Human and Veterinary,Current,Transdermal,"Transdermal spray, solution",Topical Spray,ok,,,a spray intended for use on the skin,
PDF-10547000,Human and Veterinary,Current,Transdermal,Transdermal system,Transdermal System,ok,,Transdermal System,an adhesive patch that delivers medication at a set rate systemically over a defined period of time (see also Medicated Patch),
PDF-10548000,Human and Veterinary,Current,Cutaneous,Solution for skin-prick test,Mucous Membrane Topical Solution,FALSE,Lösung für Pricktest (Allergene) ist keine Lösung für die Schleimhäute?,,an oral solution intended for use on the mucous membranes,
PDF-10549000,Human and Veterinary,Current,Cutaneous,Solution for skin-scratch test,Topical Solution,,zu allgemein,,a solution intended for use on a surface (do not use for Oral Solutions),
PDF-10550000,Human and Veterinary,Current,Cutaneous,Plaster for provocation test,,,,,,
PDF-10600500,Human and Veterinary,Current,Ocular,Concentrate for solution for intraocular irrigation,,,,,,
PDF-10601000,Human and Veterinary,Current,Ocular,Eye cream,Ophthalmic Cream,ok,,Ophthalmic Cream,a cream intended for use in the eye,
PDF-10602000,Human and Veterinary,Current,Ocular,Eye gel,Ophthalmic Gel,ok,,Ophthalmic Gel,a gel intended for use on or in the eye,
PDF-10603000,Human and Veterinary,Current,Ocular,Eye ointment,Ophthalmic Ointment,ok,,Ophthalmic Ointment,a ointment intended for use on or in the eye,
PDF-10604000,Human and Veterinary,Current,Ocular,"Eye drops, solution",Ophthalmic Solution,ok,,,a solution intended for use in the eye,
PDF-10604500,Human and Veterinary,Current,Ocular,"Eye drops, emulsion",,,,,,
PDF-10605000,Human and Veterinary,Current,Ocular,"Eye drops, suspension",Ophthalmic Suspension,ok,,,a suspension intended for use in the eye,
PDF-10608000,Human and Veterinary,Current,Ocular,"Eye drops, solvent for reconstitution",,,,,,
